Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
MT-RNR1,8.647141e-07,-11.902877807617188,4.443770186421534,108.66647,1.9202547059595716e-25,5.762684372584675e-22
CYB5R4,7.9329067e-07,-11.964922904968262,4.30299669892136,91.456635,1.1406470045291243e-21,1.711540830295951e-18
CUL3,7.691169e-07,-11.987164497375488,4.252532977138378,85.9677,1.828990504643025e-20,1.8296001681445728e-17
CHASERR,6.6998166e-07,-12.086145401000977,4.027956216134435,65.23435,6.650013985294191e-16,4.989172992466967e-13
AFTPH,6.40465e-07,-12.118393898010254,3.9547879307347467,59.613045,1.1546726231992834e-14,6.930345084442099e-12
B2M,6.362393e-07,-12.123128890991211,3.944044753534999,58.829002,1.719874005554342e-14,8.602236484447634e-12
IER2,6.2790406e-07,-12.132559776306152,3.9226471141939516,57.297688,3.7459540835394636e-14,1.6059440292431327e-11
PRKCH,5.884296e-07,-12.178951263427734,3.8173899430193883,50.319874,1.3061999991819913e-12,4.899882746931445e-10
FMR1,5.339794e-07,-12.248196601867676,3.660279902073476,41.438072,1.216646467377113e-10,4.0568400539985726e-08
TET2,5.2337856e-07,-12.262476921081543,3.62787943170308,39.8091,2.800371576639144e-10,8.403915101494072e-08
CDK13,4.617499e-07,-12.351544380187988,3.4257951836883365,30.9859,2.5990964323204015e-08,7.09080763035775e-06
COG5,4.4777778e-07,-12.373348236083984,3.3763246378035787,29.139063,6.73649543554598e-08,1.6846852335061238e-05
MIR99AHG,4.4033618e-07,-12.385234832763672,3.349355260035673,28.17859,1.1062143630371744e-07,2.5536533103650465e-05
LGMN,4.2875868e-07,-12.404122352600098,3.3065015592419176,26.716305,2.3562486320612875e-07,5.0507872462970884e-05
CARF,3.9060714e-07,-12.470090866088867,3.156826272950252,22.173328,2.491105132734623e-06,0.0004983871002224402
JUN,3.6097052e-07,-12.525834083557129,3.030351056333448,18.93625,1.351598319443764e-05,0.00253509159790671
CMAHP,3.5450938e-07,-12.538578987121582,3.001434274843534,18.264425,1.9226439573512042e-05,0.0033940320682417434
ATXN2,3.4366005e-07,-12.56049919128418,2.9516997475653484,17.163609,3.4294364697990165e-05,0.00571763269214825
BAZ1B,3.4157017e-07,-12.564799308776855,2.941943254918085,16.955492,3.826645845089116e-05,0.006044086411111808
AZIN2,3.390887e-07,-12.569938659667969,2.9302826341870807,16.710028,4.355019593077702e-05,0.006534706899413092
PBX3,3.3804173e-07,-12.572117805480957,2.925338392515092,16.606998,4.59810374475741e-05,0.006570909208579518
RUFY3,3.3546883e-07,-12.57750129699707,2.9131238436142715,16.355162,5.251294719445043e-05,0.007163243387752079
PLCL2,3.259544e-07,-12.597766876220703,2.867143477955736,15.440601,8.513929402597936e-05,0.011108827016172352
AUTS2,3.224765e-07,-12.605319023132324,2.8500084889839736,15.11286,0.00010127107186018523,0.012663103610517328
ATP9B,3.1476557e-07,-12.622350692749023,2.8113655077935835,14.398756,0.00014789998093929808,0.017753913711953343
MBD5,3.1189407e-07,-12.62879753112793,2.7967383420593857,14.137244,0.00016994549350715903,0.019615631769807088
CSNK1G1,3.0680334e-07,-12.64037036895752,2.77048084854097,13.679515,0.00021680660787005613,0.02409765297103846
CX3CR1,2.796266e-07,-12.705513954162598,2.6226772336043456,11.363378,0.0007490648118095915,0.08028369643716371
FUBP3,2.6026515e-07,-12.755812644958496,2.508555047930816,9.844249,0.0017036354951465737,0.176296900721892
ASMER1,2.5963914e-07,-12.757498741149902,2.504729481508026,9.796948,0.0017480169917414934,0.17485996640720738
PPP1R12B,2.583242e-07,-12.761054992675781,2.4966607387531705,9.697968,0.001844719335750246,0.17858073311569317
MACROD2,2.5200242e-07,-12.778400421142578,2.4573058733132904,9.229113,0.002381970601955917,0.22338418051467834
TRIM22,2.3611287e-07,-12.823946952819824,2.3539658129139487,8.101955,0.004421753037528542,0.40211154138251987
ATF6,2.3397695e-07,-12.830296516418457,2.339559352934912,7.9560347,0.00479273023272658,0.4230289243650725
ABR,2.2898521e-07,-12.845358848571777,2.3053845813955745,7.6201835,0.0057718615726433265,0.49489590227150354
LEMD3,2.1800997e-07,-12.879636764526367,2.227611768084292,6.907219,0.008584841700700624,0.7156419428834048
ARB2A,2.134088e-07,-12.894511222839355,2.193863261581883,6.6187377,0.010091133073122031,0.8184727122280869
CHURC1,2.1318644e-07,-12.895237922668457,2.192214459763916,6.604952,0.010169555318635774,0.80312725029542
MAP3K1,2.1152725e-07,-12.900684356689453,2.179857101256815,6.502542,0.010772037336935051,0.8288944627728742
ST6GALNAC3,2.1084134e-07,-12.902948379516602,2.174720282994539,6.460439,0.01103023779062118,0.8275435902413539
CSF3R,2.031695e-07,-12.9287691116333,2.116135887690781,5.9988437,0.014315257927270139,1.0
RASSF2,2.0303463e-07,-12.929231643676758,2.1150864534628098,5.990882,0.014380011162353996,1.0
MEF2C-AS1,2.0208178e-07,-12.932506561279297,2.1076560263723905,5.9347825,0.014844900679369208,1.0
MIR646HG,2.0099044e-07,-12.936277389526367,2.099100432687033,5.870855,0.015393575008078014,1.0
SRBD1,2.0009425e-07,-12.939388275146484,2.0920421760857084,5.818617,0.01585740993225603,1.0
MGMT,1.954278e-07,-12.955808639526367,2.0547861791017707,5.5503864,0.01847660737215911,1.0
